place_id,osm_id,name,alt_names,lat,lon,address,province_code,district_code,ward_code,categories,subcategories,tags,verified,last_updated,source,popularityScore,rating
HN-OSM-4533,N12156837851,Trường mầm non Ánh Sao Mai,,20.9945779,105.8443288,"55, Ngõ 255 Phố Vọng",HN,,,kindergarten,,,False,2025-11-25,osm,,
HN-OSM-4534,N12164856801,Lotteria,,21.0171195,105.8491278,"40, Phố Trần Nhân Tông",HN,,,fast_food,burger,,False,2025-11-25,osm,,
HN-OSM-4535,N12164856802,Bún Miến Ngan Phở Bò,,21.0171042,105.8490057,"42, Phố Trần Nhân Tông",HN,,,restaurant,,,False,2025-11-25,osm,,
HN-OSM-4536,N12164856901,Phở bò,,21.017111,105.8487503,"46, Phố Trần Nhân Tông",HN,,,restaurant,,,False,2025-11-25,osm,,
HN-OSM-4537,N12164857001,Coffee 42,,21.0171081,105.8488996,"42, Phố Trần Nhân Tông",HN,,,cafe,,,False,2025-11-25,osm,,
HN-OSM-4538,N12164910901,Cafe 54,,21.0167654,105.8502544,,HN,,,cafe,,,False,2025-11-25,osm,,
HN-OSM-4539,N12164911001,Kaede Food Restaurant,,21.0167092,105.8502554,,HN,,,restaurant,,,False,2025-11-25,osm,,
HN-OSM-4540,N12164978501,Karaoke 80,,21.0161866,105.8502704,,HN,,,nightclub,,,False,2025-11-25,osm,,
HN-OSM-4541,N12164978601,Dongbang Medical Group,,21.0157708,105.8502788,,HN,,,doctors,,,False,2025-11-25,osm,,
HN-OSM-4542,N12165016201,Raptor Karaoke,,21.0138527,105.8498028,,HN,,,nightclub,,,False,2025-11-25,osm,,
HN-OSM-4543,N12165016301,Nhà Hàng  Khiêm,,21.0143166,105.849969,,HN,,,restaurant,vietnamese,,False,2025-11-25,osm,,
HN-OSM-4544,N12167178301,Lakeside House 2,,21.0358146,105.8278108,P. Đội Cấn,HN,,,hotel,,,False,2025-11-25,osm,,
HN-OSM-4545,N12177717116,Chợ Mễ Trì,,21.0103485,105.7788194,"Ngõ 32 Đỗ Đức Dục, Quận Nam Từ Liêm",HN,NTL,,marketplace,,,False,2025-11-25,osm,,
HN-OSM-4546,N12177718901,Gasfein,,21.0414397,105.8447062,"46, Phố Hàng Bún",HN,,,cafe,,,False,2025-11-25,osm,,
HN-OSM-4547,N12178416219,Toninni Cafe,,21.0062933,105.832697,"35, Ngõ 101 Phạm Ngọc Thạch",HN,,,cafe,coffee_shop,,False,2025-11-25,osm,,
HN-OSM-4548,N12188220611,Phê La (Thành Thái),,21.0296258,105.7922418,,HN,,,cafe,bubble_tea;tea,,False,2025-11-25,osm,,
HN-OSM-4549,N12188220612,The Cafein,,21.0296871,105.792065,,HN,,,cafe,,,False,2025-11-25,osm,,
HN-OSM-4550,N12188220613,Nhà Thuốc An Bình Số 8,,21.0295835,105.7924232,,HN,,,pharmacy,,,False,2025-11-25,osm,,
HN-OSM-4551,N12189275702,Vườn Trí Tuệ,,21.0340701,105.8444116,"3, Phố Tôn Thất Thiệp",HN,,,kindergarten,,,False,2025-11-25,osm,,
HN-OSM-4552,N12189287501,JA café,,21.0341491,105.8441363,"9, Phố Tôn Thất Thiệp",HN,,,cafe,,,False,2025-11-25,osm,,
HN-OSM-4553,N12196276101,A25 Hotel - 23 Quan Thanh,,21.0412233,105.8444571,"23, Phố Quán Thánh",HN,,,hotel,,,False,2025-11-25,osm,,
HN-OSM-4554,N12203469051,Trường Cao đẳng Đại Việt,,21.0311974,105.7628725,,HN,,,college,,,False,2025-11-25,osm,,
HN-OSM-4555,N12212544801,TPBank LiveBank 24/7,,21.0229558,105.8014478,,HN,,,atm,,,False,2025-11-25,osm,,
HN-OSM-4556,N12213572601,PHỞ BÒ - CƠM RANG - BÚN BÒ HUẾ,,21.0232121,105.801918,,HN,,,fast_food,,,False,2025-11-25,osm,,
HN-OSM-4557,N12213825778,Trường mầm non Mễ Trì,,21.0050564,105.7775958,Tổ dân phố số 5 Mễ Trì Thượng,HN,,,kindergarten,,,False,2025-11-25,osm,,
HN-OSM-4558,N12215413704,"Amazing stay- homestay, city view, near center Hanoi, NK Cau Giay","Amazing stay- homestay, city view, near center Hanoi, NK Cau Giay",21.0190151,105.8012974,"91b Nguyễn Khang, Cau Giay, Ханой, Вьетнам",HN,,,hotel,,,False,2025-11-25,osm,,
HN-OSM-4559,N12215653101,Era Apartment Nguyễn Khánh Toàn,,21.0391221,105.8011718,,HN,,,hotel,,,False,2025-11-25,osm,,
HN-OSM-4560,N12218907906,Romantique de Hanoi Hôtel,,21.0347201,105.8475343,,HN,,,hotel,,,False,2025-11-25,osm,,
HN-OSM-4561,N12224003112,Techcombank,,21.0360243,105.7603859,"Phố Hàm Nghi, Quận Nam Từ Liêm",HN,NTL,,bank,,,False,2025-11-25,osm,,
